City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,Lagoa,4,PT,clear sky,88,39.05,-27.98,65.26,0.0,0,13.65
1,Bluff,0,NZ,clear sky,83,-46.6,168.33,39.0,0.0,0,3.0
2,Longyearbyen,75,SJ,broken clouds,65,78.22,15.64,44.6,0.0,0,8.05
3,Severo-Kurilsk,100,RU,overcast clouds,87,50.68,156.12,41.92,0.0,0,8.52
4,Rikitea,100,PF,light rain,85,-23.12,-134.97,75.97,0.8,0,17.6
5,Naryan-Mar,95,RU,overcast clouds,56,67.67,53.09,46.45,0.0,0,2.1
6,Provideniya,0,RU,clear sky,58,64.38,-173.3,57.2,0.0,0,4.47
7,East London,0,ZA,clear sky,60,-33.02,27.91,64.45,0.0,0,12.55
8,Ushuaia,22,AR,few clouds,74,-54.8,-68.3,33.8,0.0,0,3.36
9,Whitefish,90,US,overcast clouds,67,48.41,-114.34,63.0,0.0,0,4.7
10,Nanortalik,100,GL,overcast clouds,78,60.14,-45.24,40.44,0.0,0,7.47
11,Albany,47,US,scattered clouds,44,42.6,-73.97,87.01,0.0,0,6.26
12,Mayor Pablo Lagerenza,100,PY,overcast clouds,42,-19.93,-60.77,87.98,0.0,0,8.3
13,Praia,0,CV,clear sky,54,14.92,-23.51,84.2,0.0,0,26.4
14,Saskylakh,33,RU,scattered clouds,61,71.92,114.08,63.61,0.0,0,5.61
15,San Quintin,0,MX,clear sky,60,30.48,-115.95,67.19,0.0,0,12.48
16,Pevek,0,RU,clear sky,72,69.7,170.31,40.64,0.0,0,9.35
17,Mar Del Plata,75,AR,broken clouds,76,-38.0,-57.56,60.01,0.0,0,14.99
18,Qaanaaq,0,GL,clear sky,85,77.48,-69.36,35.17,0.0,0,1.34
19,Puerto Ayora,29,EC,scattered clouds,51,-0.74,-90.35,84.2,0.0,0,9.17
20,Faanui,100,PF,overcast clouds,80,-16.48,-151.75,79.79,0.0,0,4.5
21,Tevaitoa,100,PF,overcast clouds,78,-16.78,-151.5,80.46,0.0,0,4.56
22,Busselton,60,AU,broken clouds,97,-33.65,115.33,42.01,0.0,0,5.14
23,Butaritari,100,KI,overcast clouds,60,3.07,172.79,83.14,0.0,0,1.79
24,Airai,88,TL,overcast clouds,100,-8.93,125.41,57.99,0.0,0,4.14
25,Alofi,5,NU,clear sky,78,-19.06,-169.92,73.4,0.0,0,11.41
26,Bethel,40,US,scattered clouds,57,41.37,-73.41,81.0,0.0,0,11.41
27,Boksitogorsk,42,RU,scattered clouds,84,59.47,33.85,70.9,0.0,0,6.55
28,Thompson,90,CA,light rain,100,55.74,-97.86,35.6,0.0,0,14.99
29,Bathsheba,40,BB,light intensity shower rain,70,13.22,-59.52,87.8,0.0,0,20.8
30,Tasiilaq,100,GL,light rain,81,65.61,-37.64,42.8,0.0,0,43.62
31,Tanete,99,ID,light rain,90,-3.94,119.78,75.81,0.44,0,6.58
32,Vaini,20,TO,few clouds,83,-21.2,-175.2,69.8,0.0,0,9.17
33,Balkhash,46,KZ,scattered clouds,49,46.84,74.98,69.33,0.0,0,3.15
34,Norfolk,20,US,few clouds,45,42.17,-71.25,89.01,0.0,0,6.93
35,Cape Town,0,ZA,clear sky,58,-33.93,18.42,64.99,0.0,0,10.29
36,Hobart,100,AU,overcast clouds,93,-42.88,147.33,41.0,0.0,0,3.36
37,Bilma,14,NE,few clouds,14,18.69,12.92,94.23,0.0,0,5.93
38,Hasaki,75,JP,light rain,100,35.73,140.83,64.4,0.0,0,6.93
39,Esperance,75,AU,broken clouds,87,-33.87,121.9,48.2,0.0,0,13.87
40,Cidreira,41,BR,scattered clouds,68,-30.18,-50.21,74.41,0.0,0,8.19
41,Lebu,100,CL,moderate rain,94,-37.62,-73.65,52.93,1.69,0,15.08
42,Khatanga,16,RU,few clouds,57,71.97,102.5,53.13,0.0,0,11.95
43,Punta Arenas,90,CL,overcast clouds,80,-53.15,-70.92,41.0,0.0,0,12.75
44,Richards Bay,87,ZA,overcast clouds,79,-28.78,32.04,59.41,0.0,0,2.28
45,Bredasdorp,0,ZA,clear sky,87,-34.53,20.04,48.2,0.0,0,4.97
46,Thunder Bay,75,CA,broken clouds,53,48.4,-89.32,77.0,0.0,0,13.87
