City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Lagoa,PT,65.26,39.05,-27.98,Casa Das Faias
6,Provideniya,RU,57.2,64.38,-173.3,
7,East London,ZA,64.45,-33.02,27.91,Tu Casa
9,Whitefish,US,63.0,48.41,-114.34,Best Western Rocky Mountain Lodge
11,Albany,US,87.01,42.6,-73.97,
12,Mayor Pablo Lagerenza,PY,87.98,-19.93,-60.77,
13,Praia,CV,84.2,14.92,-23.51,LT Aparthotel
14,Saskylakh,RU,63.61,71.92,114.08,
15,San Quintin,MX,67.19,30.48,-115.95,Old Mill Hotel
17,Mar Del Plata,AR,60.01,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
19,Puerto Ayora,EC,84.2,-0.74,-90.35,Finch Bay Galapagos Hotel
20,Faanui,PF,79.79,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Tevaitoa,PF,80.46,-16.78,-151.5,Hôtel Raiatea Lodge
23,Butaritari,KI,83.14,3.07,172.79,Isles Sunset Lodge
24,Airai,TL,57.99,-8.93,125.41,Juvinal Martin
25,Alofi,NU,73.4,-19.06,-169.92,Taloa Heights
26,Bethel,US,81.0,41.37,-73.41,Courtyard by Marriott Danbury
27,Boksitogorsk,RU,70.9,59.47,33.85,Теплый Стан
29,Bathsheba,BB,87.8,13.22,-59.52,Atlantis Hotel
32,Vaini,TO,69.8,-21.2,-175.2,Keleti Beach Resort
33,Balkhash,KZ,69.33,46.84,74.98,Family
34,Norfolk,US,89.01,42.17,-71.25,Residence Inn by Marriott Boston Norwood/Canton
35,Cape Town,ZA,64.99,-33.93,18.42,Southern Sun Waterfront Cape Town
38,Hasaki,JP,64.4,35.73,140.83,Inubosaki Kanko Hotel
40,Cidreira,BR,74.41,-30.18,-50.21,Novomar Pousada e Turismo Ltda
42,Khatanga,RU,53.13,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
44,Richards Bay,ZA,59.41,-28.78,32.04,BON Hotel Waterfront Richards Bay
46,Thunder Bay,CA,77.0,48.4,-89.32,Victoria Inn Hotel and Convention Centre
47,Filadelfia,US,80.6,39.95,-75.16,Loews Philadelphia Hotel
50,Ampanihy,MG,62.67,-24.7,44.75,Angora Hotel
51,Tobol,KZ,51.46,52.68,62.58,
52,Ajdabiya,LY,74.62,30.76,20.23,فندق التوجان
53,Meulaboh,ID,78.42,4.14,96.13,Kost Pria
54,Marquette,US,84.2,46.53,-87.63,Al Quaal Lodge
57,Yellowknife,CA,64.0,62.46,-114.35,The Explorer Hotel
58,Port Lincoln,AU,59.34,-34.73,135.87,Port Lincoln Hotel
59,Mao,ES,71.6,39.89,4.27,ARTIEM Capri
60,Tiarei,PF,78.8,-17.53,-149.33,Le Rocher de Tahiti
61,Port Macquarie,AU,54.0,-31.43,152.92,Rydges Port Macquarie
64,Darhan,MN,60.71,49.49,105.92,Buudai Hotel
65,Kushima,JP,75.0,31.46,131.23,Hanaoka
70,Bandarbeyla,SO,81.41,9.49,50.81,REER XOOSHLE GROUP
71,Hilo,US,77.0,19.73,-155.09,Hilo Hawaiian Hotel
73,Norman Wells,CA,73.4,65.28,-126.83,Heritage Hotel
74,Castro,BR,65.98,-24.79,-50.01,CHACARA BAILLY
77,Mogadishu,SO,78.51,2.04,45.34,Hotel Juba
78,Kaoma,ZM,53.37,-14.78,24.8,KAOMA AIRPORT
80,Skibbereen,IE,60.8,51.55,-9.27,The West Cork Hotel
82,Kariba,ZW,65.17,-16.52,28.8,Caribbea Bay Hotel
83,Zaysan,KZ,59.34,47.47,84.87,Gostinitsa Aray
85,Saint-Pierre,RE,69.8,-21.34,55.48,Lindsey Hôtel
86,Kermanshah,IR,77.0,34.31,47.06,Sina Hotel
87,Port Elizabeth,ZA,57.2,-33.92,25.57,39 On Nile Guest House
88,Avarua,CK,73.4,-21.21,-159.78,Paradise Inn
90,Vallenar,CL,75.94,-28.57,-70.76,Humacao Bed & Breakfast
93,Faya,SA,77.0,18.39,42.45,مقبرة ال مجمل
94,Barcelos,PT,66.0,41.54,-8.62,Hotel Do Terço
95,Kodiak,US,50.0,57.79,-152.41,Best Western Kodiak Inn and Convention Center
97,Arraial Do Cabo,BR,77.0,-22.97,-42.03,Pousada Porto Praia
98,Kruisfontein,ZA,56.97,-34.0,24.73,Oyster Bay House Rental
99,Ewa Beach,US,78.8,21.32,-158.01,Parkside By Gentry
103,Kovdor,RU,60.15,67.57,30.48,Ochag
104,Miranda,CO,84.2,3.25,-76.23,Parqueadero toño lasso
105,Rocha,UY,58.71,-34.48,-54.33,Beleza Pura B&B
106,Atuona,PF,79.81,-9.8,-139.03,Villa Enata
107,Lompoc,US,70.0,34.64,-120.46,Holiday Inn Express Lompoc
108,Saint-Francois,FR,64.4,46.42,3.91,Manoir Du Bonheur
109,Los Llanos De Aridane,ES,73.4,28.66,-17.92,Valle Aridane
112,Zhigansk,RU,59.74,66.77,123.37,Gostinichnyy Kompleks Aylgy
113,Cabinda,AO,73.81,-5.55,12.2,"Hotel Executivo , 3 estrelas"
114,Half Moon Bay,US,86.0,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
116,Jamestown,US,80.6,42.1,-79.24,Hampton Inn & Suites Jamestown
119,Praia Da Vitoria,PT,71.6,38.73,-27.07,Hotel Branco I
121,Nikolskoye,RU,68.0,59.7,30.79,Tourist House - Sablino
122,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
123,Hermanus,ZA,54.0,-34.42,19.23,Misty Waves Boutique Hotel
124,Baykit,RU,53.56,61.67,96.37,Gostinitsa
126,Xihua,CN,69.57,33.78,114.52,Home Inn
127,Kloulklubed,PW,77.0,7.04,134.26,Storyboard Beach Resort
129,Puerto Escondido,MX,87.8,15.85,-97.07,Aldea del Bazar Hotel and Spa
130,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
132,Geraldton,AU,51.8,-28.77,114.6,Broadwater Mariner Resort
134,Aliartos,GR,79.0,38.37,23.1,Κήποι Αλιάρτου
136,Naze,JP,78.8,28.37,129.48,奄美ポートタワーホテル
137,Luena,AO,55.54,-11.78,19.92,Hotel Kandamba
138,Whitehorse,CA,59.0,60.72,-135.05,Westmark Hotel
139,Komsomolskiy,UZ,71.6,40.43,71.72,Ikathouse
141,Pilar,BR,80.6,-9.6,-35.96,Pousada Manguaba
142,Mayo,US,81.0,38.89,-76.51,Resorts Resource Group International
144,Moose Factory,CA,87.8,51.26,-80.61,Cree Village Eco Lodge
145,Souillac,MU,71.6,-20.52,57.52,Bils' Villa
146,Dom Pedrito,BR,70.61,-30.98,-54.67,Hotel Alexandre
147,Puri,IN,82.4,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
148,Pandan,PH,80.71,14.05,124.17,Bonifacio Lodge
149,San Andres,CO,81.99,12.58,-81.7,Hotel Arena Blanca
150,Chokurdakh,RU,74.07,70.63,147.92,
151,Aleksandrov Gay,RU,76.48,50.15,48.57,
154,Hamilton,US,82.0,39.18,-84.53,Six Acres Bed & Breakfast
157,Morehead,US,84.2,37.27,-87.18,CCI Express Inn
158,Tarragona,ES,68.0,41.13,1.25,Hotel SB Ciutat de Tarragona
159,Port Alfred,ZA,55.99,-33.59,26.89,The Halyards Hotel
160,Mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
161,Erzincan,TR,64.4,39.75,39.5,Eriza Boutique Hotel
162,Rock Springs,US,57.2,41.59,-109.2,Homewood Suites by Hilton Rock Springs
163,Ostrovnoy,RU,57.04,68.05,39.51,
164,Torbay,CA,70.0,47.67,-52.73,Gallows Cove
165,Tadine,NC,70.83,-21.55,167.88,
166,Wyndham,US,81.0,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
167,Husavik,IS,57.2,66.04,-17.34,Bjarnabúð
168,Dinghai,CN,82.4,26.28,119.79,
169,Auki,SB,78.01,-8.77,160.7,Auki Motel
170,Aksum,ET,63.03,14.12,38.72,Remhay Hotel
171,Touros,BR,75.2,-5.2,-35.46,INN NEW HORIZON
173,Sao Felix Do Xingu,BR,86.09,-6.64,-51.99,Apart Hotel Rio Xingu
174,Avera,US,81.0,33.19,-82.53,
176,Santa Maria Del Oro,MX,86.36,25.93,-105.37,Hotel Palacio Del Sol
177,Saint Anthony,US,82.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
179,Sao Filipe,CV,82.35,14.9,-24.5,Tortuga B&B
180,Muros,ES,64.0,42.78,-9.06,Apartment Av. Castelao
181,Champerico,GT,87.8,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
182,Coihaique,CL,51.8,-45.58,-72.07,Diego De Almagro Coyhaique
183,Kahului,US,84.2,20.89,-156.47,Maui Seaside Hotel
184,Marawi,PH,73.99,8.0,124.29,Derogongan Residence
186,Inuvik,CA,59.0,68.35,-133.72,Nova Inn Inuvik
189,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
193,Orbetello,IT,69.8,42.44,11.22,Argentario Golf Resort & Spa
194,Ascope,PE,76.17,-7.71,-79.11,agroindustrial casagrande
195,Monrovia,LR,80.6,6.3,-10.8,Eco-Hotel Hall & Restaurant
196,Saint-Joseph,RE,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
197,Ixtapa,MX,88.0,20.7,-105.2,Container Inn Puerto Vallarta
200,Nerchinskiy Zavod,RU,51.51,51.31,119.61,Tat'yana
201,Saint George,US,80.6,37.1,-113.58,Best Western Plus Abbey Inn
202,Pacific Grove,US,84.0,36.62,-121.92,Lovers Point Inn
203,Salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
204,Bartica,GY,86.0,6.4,-58.62,La Vista Hotel and Apartment
209,Ponta Do Sol,PT,71.6,32.67,-17.1,Hotel do Campo
210,Kasangulu,CD,77.0,-4.59,15.17,Hôtel le Relais
